comparison,dataset,baseline_run_name,candidate_run_name,baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,p_holm
bm25_to_best_dense,fiqa,fiqa_bm25_stem_512,fiqa_dense_bge_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T041638Z_fiqa-dense-bge-512,ndcg@10,648,0.243986,0.406231,0.162245,0.138887,0.185356,0.0,0.95,10000,13,0.000000
bm25_to_best_hybrid,fiqa,fiqa_bm25_stem_512,fiqa_hybrid_stem_e5_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T044048Z_fiqa-hybrid-stem-e5-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T044048Z_fiqa-hybrid-stem-e5-512,ndcg@10,648,0.243986,0.376211,0.132224,0.11644,0.147826,0.0,0.95,10000,13,0.000000
best_dense_to_best_hybrid,fiqa,fiqa_dense_bge_512,fiqa_hybrid_stem_e5_512,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T044048Z_fiqa-hybrid-stem-e5-512.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,20260831T044048Z_fiqa-hybrid-stem-e5-512,ndcg@10,648,0.406231,0.376211,-0.03002,-0.048266,-0.01129,0.0012,0.95,10000,13,0.015600
bm25_to_dense_bge,fiqa,fiqa_bm25_stem_512,fiqa_dense_bge_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T041638Z_fiqa-dense-bge-512,ndcg@10,648,0.243986,0.406231,0.162245,0.138887,0.185356,0.0,0.95,10000,13,0.000000
bm25_to_hybrid_bge,fiqa,fiqa_bm25_stem_512,fiqa_hybrid_stem_bge_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043949Z_fiqa-hybrid-stem-bge-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T043949Z_fiqa-hybrid-stem-bge-512,ndcg@10,648,0.243986,0.363923,0.119936,0.104523,0.135322,0.0,0.95,10000,13,0.000000
dense_to_hybrid_bge,fiqa,fiqa_dense_bge_512,fiqa_hybrid_stem_bge_512,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T043949Z_fiqa-hybrid-stem-bge-512.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,20260831T043949Z_fiqa-hybrid-stem-bge-512,ndcg@10,648,0.406231,0.363923,-0.042308,-0.059034,-0.025519,0.0,0.95,10000,13,0.000000
bm25_to_dense_e5,fiqa,fiqa_bm25_stem_512,fiqa_dense_e5_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T043738Z_fiqa-dense-e5-512,ndcg@10,648,0.243986,0.398666,0.15468,0.13154,0.177923,0.0,0.95,10000,13,0.000000
bm25_to_hybrid_e5,fiqa,fiqa_bm25_stem_512,fiqa_hybrid_stem_e5_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T044048Z_fiqa-hybrid-stem-e5-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T044048Z_fiqa-hybrid-stem-e5-512,ndcg@10,648,0.243986,0.376211,0.132224,0.11644,0.147826,0.0,0.95,10000,13,0.000000
dense_to_hybrid_e5,fiqa,fiqa_dense_e5_512,fiqa_hybrid_stem_e5_512,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/track_a_artifacts/20260831T044048Z_fiqa-hybrid-stem-e5-512.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,20260831T044048Z_fiqa-hybrid-stem-e5-512,ndcg@10,648,0.398666,0.376211,-0.022455,-0.039931,-0.004833,0.0128,0.95,10000,13,0.128000
bm25_to_dense_minilm,fiqa,fiqa_bm25_stem_512,fiqa_dense_minilm_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T035004Z_fiqa-dense-minilm-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T035004Z_fiqa-dense-minilm-512,ndcg@10,648,0.243986,0.36103,0.117044,0.092664,0.140801,0.0,0.95,10000,13,0.000000
bm25_to_hybrid_minilm,fiqa,fiqa_bm25_stem_512,fiqa_hybrid_stem_minilm_512,results/track_a_artifacts/20260831T034646Z_fiqa-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043850Z_fiqa-hybrid-stem-minilm-512.per_query.csv,20260831T034646Z_fiqa-bm25-stem-512,20260831T043850Z_fiqa-hybrid-stem-minilm-512,ndcg@10,648,0.243986,0.351308,0.107321,0.090311,0.123951,0.0,0.95,10000,13,0.000000
dense_to_hybrid_minilm,fiqa,fiqa_dense_minilm_512,fiqa_hybrid_stem_minilm_512,results/track_a_artifacts/20260831T035004Z_fiqa-dense-minilm-512.per_query.csv,results/track_a_artifacts/20260831T043850Z_fiqa-hybrid-stem-minilm-512.per_query.csv,20260831T035004Z_fiqa-dense-minilm-512,20260831T043850Z_fiqa-hybrid-stem-minilm-512,ndcg@10,648,0.36103,0.351308,-0.009722,-0.026942,0.007584,0.2822,0.95,10000,13,1.000000
bm25_to_best_dense,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_dense_bge_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,ndcg@10,323,0.326917,0.374376,0.047459,0.028647,0.066364,0.0,0.95,10000,13,0.000000
bm25_to_best_hybrid,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_hybrid_stem_bge_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,ndcg@10,323,0.326917,0.375198,0.048282,0.034785,0.063061,0.0,0.95,10000,13,0.000000
best_dense_to_best_hybrid,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_hybrid_stem_bge_512,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,ndcg@10,323,0.374376,0.375198,0.000823,-0.010995,0.013001,0.88,0.95,10000,13,1.000000
bm25_to_dense_bge,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_dense_bge_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T035342Z_nfcorpus-dense-bge-512,ndcg@10,323,0.326917,0.374376,0.047459,0.028647,0.066364,0.0,0.95,10000,13,0.000000
bm25_to_hybrid_bge,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_hybrid_stem_bge_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,ndcg@10,323,0.326917,0.375198,0.048282,0.034785,0.063061,0.0,0.95,10000,13,0.000000
dense_to_hybrid_bge,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_hybrid_stem_bge_512,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T043906Z_nfcorpus-hybrid-stem-bge-512.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,20260831T043906Z_nfcorpus-hybrid-stem-bge-512,ndcg@10,323,0.374376,0.375198,0.000823,-0.010995,0.013001,0.88,0.95,10000,13,1.000000
bm25_to_dense_e5,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_dense_e5_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T042543Z_nfcorpus-dense-e5-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T042543Z_nfcorpus-dense-e5-512,ndcg@10,323,0.326917,0.355103,0.028186,0.011135,0.04534,0.0018,0.95,10000,13,0.021600
bm25_to_hybrid_e5,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_hybrid_stem_e5_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T044004Z_nfcorpus-hybrid-stem-e5-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T044004Z_nfcorpus-hybrid-stem-e5-512,ndcg@10,323,0.326917,0.370993,0.044077,0.03077,0.058341,0.0,0.95,10000,13,0.000000
dense_to_hybrid_e5,nfcorpus,nfcorpus_dense_e5_512,nfcorpus_hybrid_stem_e5_512,results/track_a_artifacts/20260831T042543Z_nfcorpus-dense-e5-512.per_query.csv,results/track_a_artifacts/20260831T044004Z_nfcorpus-hybrid-stem-e5-512.per_query.csv,20260831T042543Z_nfcorpus-dense-e5-512,20260831T044004Z_nfcorpus-hybrid-stem-e5-512,ndcg@10,323,0.355103,0.370993,0.015891,0.004556,0.027378,0.0052,0.95,10000,13,0.057200
bm25_to_dense_minilm,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_dense_minilm_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T034739Z_nfcorpus-dense-minilm-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T034739Z_nfcorpus-dense-minilm-512,ndcg@10,323,0.326917,0.3105,-0.016417,-0.038723,0.004829,0.1324,0.95,10000,13,0.794400
bm25_to_hybrid_minilm,nfcorpus,nfcorpus_bm25_stem_512,nfcorpus_hybrid_stem_minilm_512,results/track_a_artifacts/20260831T034614Z_nfcorpus-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043810Z_nfcorpus-hybrid-stem-minilm-512.per_query.csv,20260831T034614Z_nfcorpus-bm25-stem-512,20260831T043810Z_nfcorpus-hybrid-stem-minilm-512,ndcg@10,323,0.326917,0.350718,0.023802,0.010909,0.03712,0.0,0.95,10000,13,0.000000
dense_to_hybrid_minilm,nfcorpus,nfcorpus_dense_minilm_512,nfcorpus_hybrid_stem_minilm_512,results/track_a_artifacts/20260831T034739Z_nfcorpus-dense-minilm-512.per_query.csv,results/track_a_artifacts/20260831T043810Z_nfcorpus-hybrid-stem-minilm-512.per_query.csv,20260831T034739Z_nfcorpus-dense-minilm-512,20260831T043810Z_nfcorpus-hybrid-stem-minilm-512,ndcg@10,323,0.3105,0.350718,0.040219,0.024991,0.056283,0.0,0.95,10000,13,0.000000
bm25_to_best_dense,scifact,scifact_bm25_stem_512,scifact_dense_bge_512,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,ndcg@10,300,0.684168,0.740391,0.056223,0.023878,0.088547,0.0006,0.95,10000,13,0.009600
bm25_to_best_hybrid,scifact,scifact_bm25_stem_512,scifact_hybrid_stem_e5_512,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,20260831T034613Z_scifact-bm25-stem-512,20260831T043957Z_scifact-hybrid-stem-e5-512,ndcg@10,300,0.684168,0.745903,0.061735,0.040925,0.083331,0.0,0.95,10000,13,0.000000
best_dense_to_best_hybrid,scifact,scifact_dense_bge_512,scifact_hybrid_stem_e5_512,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T043957Z_scifact-hybrid-stem-e5-512.per_query.csv,20260831T035210Z_scifact-dense-bge-512,20260831T043957Z_scifact-hybrid-stem-e5-512,ndcg@10,300,0.740391,0.745903,0.005512,-0.019454,0.030484,0.6492,0.95,10000,13,1.000000
bm25_to_dense_bge,scifact,scifact_bm25_stem_512,scifact_dense_bge_512,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,20260831T034613Z_scifact-bm25-stem-512,20260831T035210Z_scifact-dense-bge-512,ndcg@10,300,0.684168,0.740391,0.056223,0.023878,0.088547,0.0006,0.95,10000,13,0.009600
bm25_to_hybrid_bge,scifact,scifact_bm25_stem_512,scifact_hybrid_stem_bge_512,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T043859Z_scifact-hybrid-stem-bge-512.per_query.csv,20260831T034613Z_scifact-bm25-stem-512,20260831T043859Z_scifact-hybrid-stem-bge-512,ndcg@10,300,0.684168,0.735986,0.051818,0.029566,0.07388,0.0,0.95,10000,13,0.000000
dense_to_hybrid_bge,scifact,scifact_dense_bge_512,scifact_hybrid_stem_bge_512,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/track_a_artifacts/20260831T043859Z_scifact-hybrid-stem-bge-512.per_query.csv,20260831T035210Z_scifact-dense-bge-512,20260831T043859Z_scifact-hybrid-stem-bge-512,ndcg@10,300,0.740391,0.735986,-0.004406,-0.024967,0.016146,0.6754,0.95,10000,13,1.000000
bm25_to_dense_e5,scifact,scifact_bm25_stem_512,scifact_dense_e5_512,results/track_a_artifacts/20260831T034613Z_scifact-bm25-stem-512.per_query.csv,results/track_a_artifacts/20260831T042408Z_scifact-dense-e5-512.per_query.csv,20260831T034613Z_scifact-bm25-stem-512,20260831T042408Z_scifact-dense-e5-512,ndcg@10,300,0.684168,0.719429,0.035261,0.003276,0.067352,0.0322,0.95,10000,13,0.257600
