comparison,dataset,base_run_name,candidate_run_name,reranker_model,rerank_top_k,device,rerank_latency_p50_ms,rerank_latency_p95_ms,baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,baseline_rerank_top_k,p_holm
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,62.492,268.194,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top10.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top10,ndcg@10,648,0.406231,0.398488,-0.007744,-0.018598,0.0032,0.169,0.95,10000,13,,1.000000
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,124.321,431.483,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top20,ndcg@10,648,0.406231,0.390976,-0.015255,-0.03002,-0.000481,0.044,0.95,10000,13,,0.924000
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,315.012,610.14,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top50,ndcg@10,648,0.406231,0.385061,-0.021171,-0.037978,-0.004403,0.0136,0.95,10000,13,,0.435200
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,565.223,975.418,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top100,ndcg@10,648,0.406231,0.377603,-0.028629,-0.046244,-0.01111,0.0026,0.95,10000,13,,0.117000
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,1016.706,1581.086,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_bge_512_top200,ndcg@10,648,0.406231,0.371304,-0.034928,-0.0524,-0.017781,0.0004,0.95,10000,13,,0.020000
base_to_reranker,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top10,cross-encoder/ms-marco-MiniLM-L-6-v2,10,mps:0,61.223,393.96,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top10.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top10,ndcg@10,648,0.398666,0.406054,0.007387,-0.0049,0.01965,0.2352,0.95,10000,13,,1.000000
base_to_reranker,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20,cross-encoder/ms-marco-MiniLM-L-6-v2,20,mps:0,121.473,461.71,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top20,ndcg@10,648,0.398666,0.40621,0.007544,-0.008207,0.023663,0.3484,0.95,10000,13,,1.000000
base_to_reranker,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top50,cross-encoder/ms-marco-MiniLM-L-6-v2,50,mps:0,322.185,784.254,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top50.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top50,ndcg@10,648,0.398666,0.395335,-0.003332,-0.021426,0.014457,0.7166,0.95,10000,13,,1.000000
base_to_reranker,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top100,cross-encoder/ms-marco-MiniLM-L-6-v2,100,mps:0,574.838,1029.88,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top100.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top100,ndcg@10,648,0.398666,0.389267,-0.009399,-0.028373,0.008976,0.3334,0.95,10000,13,,1.000000
base_to_reranker,fiqa,fiqa_dense_e5_512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top200,cross-encoder/ms-marco-MiniLM-L-6-v2,200,mps:0,980.924,1451.501,results/track_a_artifacts/20260831T043738Z_fiqa-dense-e5-512.per_query.csv,results/rerank_sweep_artifacts/fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top200.per_query.csv,20260831T043738Z_fiqa-dense-e5-512,fiqa_rerank_sweep_cross-encoder-ms-marco-minilm-l-6-v2_fiqa_dense_e5_512_top200,ndcg@10,648,0.398666,0.382919,-0.015747,-0.034738,0.003019,0.1038,0.95,10000,13,,1.000000
