comparison,dataset,base_run_name,candidate_run_name,reranker_model,rerank_top_k,device,rerank_latency_p50_ms,rerank_latency_p95_ms,baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,baseline_rerank_top_k
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10,BAAI/bge-reranker-v2-m3,10,mps:0,1059.199,1499.124,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10,ndcg@10,648,0.406231,0.424627,0.018395,0.007537,0.02946,0.0012,0.95,10000,13,
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,BAAI/bge-reranker-v2-m3,20,mps:0,2114.672,2853.989,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,ndcg@10,648,0.406231,0.435211,0.02898,0.013971,0.044443,0.0002,0.95,10000,13,
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50,BAAI/bge-reranker-v2-m3,50,mps:0,4540.534,6168.174,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50,ndcg@10,648,0.406231,0.436474,0.030243,0.012904,0.048553,0.0006,0.95,10000,13,
base_to_reranker,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100,BAAI/bge-reranker-v2-m3,100,mps:0,8120.133,11100.627,results/track_a_artifacts/20260831T041638Z_fiqa-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100.per_query.csv,20260831T041638Z_fiqa-dense-bge-512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top100,ndcg@10,648,0.406231,0.435273,0.029042,0.010576,0.048272,0.0018,0.95,10000,13,
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10,BAAI/bge-reranker-v2-m3,10,mps:0,1240.923,1376.025,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top10,ndcg@10,323,0.374376,0.367952,-0.006423,-0.015482,0.001842,0.1398,0.95,10000,13,
base_to_reranker,nfcorpus,nfcorpus_dense_bge_512,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20,BAAI/bge-reranker-v2-m3,20,mps:0,2481.289,2730.853,results/track_a_artifacts/20260831T035342Z_nfcorpus-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20.per_query.csv,20260831T035342Z_nfcorpus-dense-bge-512,nfcorpus_rerank_sweep_baai-bge-reranker-v2-m3_nfcorpus_dense_bge_512_top20,ndcg@10,323,0.374376,0.362334,-0.012042,-0.027221,0.002893,0.116,0.95,10000,13,
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10,BAAI/bge-reranker-v2-m3,10,mps:0,1049.918,1287.337,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top10,ndcg@10,300,0.740391,0.749641,0.009249,-0.01095,0.029457,0.3644,0.95,10000,13,
base_to_reranker,scifact,scifact_dense_bge_512,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20,BAAI/bge-reranker-v2-m3,20,mps:0,2096.718,2563.882,results/track_a_artifacts/20260831T035210Z_scifact-dense-bge-512.per_query.csv,results/rerank_bge_probe_artifacts/scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20.per_query.csv,20260831T035210Z_scifact-dense-bge-512,scifact_rerank_sweep_baai-bge-reranker-v2-m3_scifact_dense_bge_512_top20,ndcg@10,300,0.740391,0.749863,0.009471,-0.014132,0.033082,0.4376,0.95,10000,13,
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,BAAI/bge-reranker-v2-m3,20,mps:0,2114.672,2853.989,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.per_query.csv,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top10,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,ndcg@10,648,0.424627,0.435211,0.010584,0.000522,0.021268,0.039,0.95,10000,13,10
rerank_depth_to_next_depth,fiqa,fiqa_dense_bge_512,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50,BAAI/bge-reranker-v2-m3,50,mps:0,4540.534,6168.174,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20.per_query.csv,results/rerank_bge_probe_artifacts/fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50.per_query.csv,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top20,fiqa_rerank_sweep_baai-bge-reranker-v2-m3_fiqa_dense_bge_512_top50,ndcg@10,648,0.435211,0.436474,0.001263,-0.007381,0.010303,0.7854,0.95,10000,13,20
