question_stratum,comparison,baseline_run_name,candidate_run_name,baseline_run_id,candidate_run_id,baseline_path,candidate_path,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,p_holm
all_answerable,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,exact_match,174,0.66092,0.632184,-0.028736,-0.097701,0.04023,0.4662,0.95,10000,13,1.000000
all_answerable,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,174,0.632184,0.689655,0.057471,-0.011494,0.126437,0.1064,0.95,10000,13,1.000000
all_answerable,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,174,0.66092,0.689655,0.028736,-0.04023,0.091954,0.434,0.95,10000,13,1.000000
all_answerable,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,token_f1,174,0.664751,0.644171,-0.02058,-0.090038,0.051344,0.5628,0.95,10000,13,1.000000
all_answerable,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,174,0.644171,0.695129,0.050958,-0.016092,0.118774,0.1346,0.95,10000,13,1.000000
all_answerable,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,token_f1,174,0.664751,0.695129,0.030378,-0.034483,0.095238,0.3752,0.95,10000,13,1.000000
comparison_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,exact_match,70,0.642857,0.528571,-0.114286,-0.242857,0.014286,0.1016,0.95,10000,13,1.000000
comparison_query,dense_to_reranker,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,8b748cf71001c257,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,70,0.528571,0.628571,0.1,-0.014286,0.200357,0.0858,0.95,10000,13,1.000000
comparison_query,bm25_to_reranker,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1,ca700ad55bc75531,433a8f3ac33b330b,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_rerank20_w256_o64_433a8f3ac33b330b_r1.per_query.csv,exact_match,70,0.642857,0.628571,-0.014286,-0.142857,0.114286,0.904,0.95,10000,13,1.000000
comparison_query,bm25_to_dense,multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1,multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1,ca700ad55bc75531,8b748cf71001c257,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca700ad55bc75531_r1.per_query.csv,results/track_b_generation_artifacts/multihop_retrieved_multihop_dense_bge_w256_o64_8b748cf71001c257_r1.per_query.csv,token_f1,70,0.642857,0.532653,-0.110204,-0.238776,0.018367,0.1022,0.95,10000,13,1.000000
